ID,Departamento,Categoria_Planta,Tipo_Planta,Temperatura_C,Humedad_Relativa_pct,Horas_Luz_Solar,pH_Suelo,Tipo_Suelo,Fertilidad_Suelo,Crecimiento_cm_semana,Cond_Temperatura,Cond_Humedad,Cond_Luz_Solar,Cond_pH,Cond_Suelo,Cond_Fertilidad,Condiciones_Optimas_Total,Estado_Crecimiento
1,Santander,Planta Tropical,Cacao,31.9,63.3,8.2,6.29,Arcilloso,Baja,1.5,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,1,Malo
2,Cauca,Cultivo Agrícola,Papa,4.5,93.5,11.5,4.87,Limoso,Baja,17.9,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
3,Cesar,Planta Tropical,Caña de azúcar,16.6,73.9,8.6,5.14,Limoso,Media,27.61,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
4,Antioquia,Cultivo Agrícola,Papa,22.9,79.0,8.1,4.34,Franco,Alta,25.34,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
5,Boyacá,Cultivo Agrícola,Arroz,33.1,74.8,4.1,5.74,Arenoso,Alta,30.84,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
6,Cesar,Planta Tropical,Yuca,30.2,36.7,12.6,5.85,Arcilloso,Alta,31.21,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
7,Nariño,Hortaliza,Zanahoria,10.9,49.8,4.4,5.81,Franco-Arcilloso,Baja,21.14,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
8,Córdoba,Hortaliza,Tomate,15.1,80.1,5.7,7.96,Franco,Baja,1.91,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
9,Tolima,Hortaliza,Pepino,29.6,84.5,10.5,7.32,Arcilloso,Baja,8.64,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Baja,3,Regular
10,Valle del Cauca,Cultivo Agrícola,Trigo,23.5,65.1,13.0,6.68,Franco-Arcilloso,Alta,64.0,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
